URL,Checked,Violations,Critical(A),Serious(AA),Moderate(AAA),Other
https://www.fife.ac.uk/studying-with-us/student-support-services/guidance-and-attendance/,2022-12-09 19:24:07,4,1,1,2,0
https://www.fife.ac.uk/courses/qualifications-explained/,2022-12-09 19:24:17,5,2,1,1,1
https://www.fife.ac.uk/case-studies/natalie-phillips/,2022-12-09 19:24:32,3,1,0,2,0
https://www.fife.ac.uk/case-studies/joyce-laird/,2022-12-09 19:24:44,4,1,0,2,1
https://www.fife.ac.uk/corporate-and-governance/key-governance/,2022-12-09 19:25:03,4,1,1,2,0
https://www.fife.ac.uk/he-built-environment-courses/,2022-12-09 19:25:21,5,1,1,3,0
https://www.fife.ac.uk/courses/subject-areas/science/,2022-12-09 19:25:39,5,1,1,3,0
https://www.fife.ac.uk/community-based-learning/,2022-12-09 19:25:57,5,1,1,3,0
https://www.fife.ac.uk/he-engineering-and-energy-courses/,2022-12-09 19:26:16,5,1,1,3,0
https://www.fife.ac.uk/about-us/work-with-us/10-reasons-to-work-with-us/,2022-12-09 19:26:31,5,1,1,3,0
https://www.fife.ac.uk/digital-update/,2022-12-09 19:26:41,5,2,0,3,0
https://www.fife.ac.uk/complaints-your-voice/,2022-12-09 19:26:57,4,1,0,3,0
https://www.fife.ac.uk/latest-news-re-coronavirus-restrictions/,2022-12-09 19:27:12,4,1,0,3,0
https://www.fife.ac.uk/culinary-arts-and-hospitality-courses/,2022-12-09 19:27:29,5,1,1,3,0
https://www.fife.ac.uk/courses/degrees/degrees-with-the-ou/,2022-12-09 19:27:50,6,1,1,3,1
https://www.fife.ac.uk/employers/support-with-funding/transition-training-fund/,2022-12-09 19:28:04,4,1,0,3,0
https://www.fife.ac.uk/employers/andrew-carnegie-business-school/human-resources-and-learning-development/,2022-12-09 19:28:12,7,1,2,3,1
https://www.fife.ac.uk/case-studies/duncan-napier/,2022-12-09 19:28:27,3,1,0,2,0
https://www.fife.ac.uk/employers/andrew-carnegie-business-school/quality-management-and-business-improvement/,2022-12-09 19:28:44,5,1,1,3,0
https://www.fife.ac.uk/students/,2022-12-09 19:29:01,5,1,1,2,1
https://www.fife.ac.uk/employers/support-with-funding/transition-training-fund/,2022-12-09 19:29:14,4,1,0,3,0
https://www.fife.ac.uk/case-studies/lewis-macgregor/,2022-12-09 19:29:26,5,1,2,2,0
https://www.fife.ac.uk/case-studies/ben-kenny/,2022-12-09 19:29:37,3,1,0,2,0
https://www.fife.ac.uk/case-studies/jack-brogan/,2022-12-09 19:29:50,3,1,0,2,0
https://www.fife.ac.uk/about-us/getting-here/levenmouth-campus/,2022-12-09 19:30:01,7,2,1,2,2
https://www.fife.ac.uk/corporate-and-governance/policies-and-procedures/accessibility/,2022-12-09 19:30:11,4,1,0,3,0
https://www.fife.ac.uk/case-studies/aleksandra-ogorzalek/,2022-12-09 19:30:27,4,1,0,2,1
https://www.fife.ac.uk/employers/industry-skills-and-plant-training/,2022-12-09 19:30:45,5,1,1,3,0
https://www.fife.ac.uk/sport-and-fitness-courses/,2022-12-09 19:30:58,5,1,1,3,0
https://www.fife.ac.uk/courses/qualifications-explained/hncs-hnds-and-degrees/,2022-12-09 19:31:10,6,2,1,2,1
https://www.fife.ac.uk/tourism-events-customer-service-courses/,2022-12-09 19:31:32,5,1,1,3,0
https://www.fife.ac.uk/about-us/work-with-us/10-reasons-to-work-with-us/,2022-12-09 19:31:49,5,1,1,3,0
https://www.fife.ac.uk/he-social-sciences-courses/,2022-12-09 19:32:03,4,1,0,3,0
https://www.fife.ac.uk/courses/qualifications-explained/highers/,2022-12-09 19:32:25,5,1,1,2,1
https://www.fife.ac.uk/courses/subject-areas/community-based-learning/,2022-12-09 19:32:39,5,1,1,3,0
https://www.fife.ac.uk/courses/subject-areas/business-enterprise-and-accounting/,2022-12-09 19:32:55,5,1,1,3,0
https://www.fife.ac.uk/employers/andrew-carnegie-business-school/project-management/,2022-12-09 19:33:04,7,1,2,3,1
https://www.fife.ac.uk/case-studies/pauline-hughes/,2022-12-09 19:33:15,5,1,2,2,0
https://www.fife.ac.uk/stem-courses/,2022-12-09 19:33:49,5,1,1,3,0
https://www.fife.ac.uk/case-studies/stevie-comyn/,2022-12-09 19:34:07,4,1,1,2,0
https://www.fife.ac.uk/courses/subject-areas/hair-beauty-and-make-up-artistry/,2022-12-09 19:34:18,5,1,1,3,0
https://www.fife.ac.uk/courses/part-time-study/,2022-12-09 19:34:34,5,1,1,3,0
https://www.fife.ac.uk/corporate-and-governance/policies-and-procedures/privacy-policy/,2022-12-09 19:34:49,4,1,0,3,0
